Title,Runtime (minutes),Language,Overview,Release Year,Genre,Keywords,Actors,Directors,Stream,Buy,Rent,Production Companies
39 East,50,English,"The eldest daughter of a poor preacher, Penelope Penn leaves her country home to seek her fortune in the big city.",1920,Comedy,None,"Lucia Moore, Constance Binney, Reginald Denny, Blanche Friderici, Alison Skipworth",John S. Robertson,,,,Realart Pictures Corporation
Don't Weaken!,20,English,A dancing instructor gets involved with a newly rich family.,1920,Comedy,"dancing, silent film, assumed identity, high society, dance instructor, braggart, masquerading, boxing, effeminate man, newly rich, society party","Charles Murray, James Finlayson, Ford Sterling, Fanny Kelly, Harriet Hammond",Malcolm St. Clair,,,,Mack Sennett Comedies
The Revenge of Tarzan,90,English,"Tarzan and Jane are traveling to Paris to help his old friend Countess de Coude, who is being threatened by her brother, Nikolas Rokoff. Rokoff has Tarzan tossed overboard. He survives, comes ashore in North Africa, and goes to Paris to search for Jane.  In Paris, Tarzan reunites with his old friend Paul D'Arnot, who informs him that Jane was taken to Africa.  Tarzan returns just in time to save Jane from a lion attack, and soon defeats Rokoff and his henchmen.",1920,"Action, Adventure",jungle,"Franklin B. Coates, Estelle Taylor, Armand Cortes, Gene Pollar, Karla Schramm","Harry Revier, George M. Merrick",,,,
Figures of the Night,106,German,"""Night people"". Thomas Bezug, the richest man in the world, is a solitary, domineering and cruel cripple, who hardly can move on his crutches. He dwells a fanatical love for his son, whom he holds like a monkey in a cage. His servants are defaced dwarfs. His secretary is trying to steal Bezugs assets. These are the night people.",1920,"Drama, Horror",eleagable kuperus,"Anita Berber, Erik Charell, Conrad Veidt, Erna Morena, Paul Wegener",Richard Oswald,,,,Richard Oswald Produktion
The Truth,50,English,"Becky Warder constantly indulges in the telling of little white lies. In an innocent effort to ease the troubled marriage of her quarreling friends Eve and Fred Lindon, Becky meets secretly with Fred, thereby constructing a web of deceit that leads Eve to suspect Becky of trifling with her husband's affections. Eve informs Becky's husband Tom of these meetings and Tom, suspicious, accuses his wife of infamy. ....",1920,"Drama, Comedy",silent film,"Horace Haine, Thomas Carrigan, Madge Kennedy, Zelda Sears, Frank Doane",Lawrence C. Windom,,,,Goldwyn Pictures Corporation
Kurfürstendamm,118,German,"The Devil decides to go and visit Kurfürstendamm, where all his clients seem to come from. He settles at ""Pension Elvira"", where everybody cheats and deceives him. He comes to the conclusion, that Hell is a much better place.",1920,Drama,satan,"Asta Nielsen, Rosa Valetti, Rudolf Forster, Paul Morgan, Conrad Veidt",Richard Oswald,,,,Richard Oswald Produktion
Satanas,1,German,A lost film. Only 40 seconds survive today.,1920,"Drama, History",lost film,"Sadjah Gezza, Fritz Kortner, Martin Wolfgang, Kurt Ehrle, Else Berna",F. W. Murnau,,,,
Fickle Women,0,English,,1920,Drama,silent film,"Julanne Johnston, Lillian Hall, David Butler, Harry Todd, Eugenie Besserer","Hugh McClung, Fred J. Butler",,,,D.N. Schwab Productions
The Cabinet of Dr. Caligari,78,German,"Francis, a young man, recalls in his memory the horrible experiences he and his fiancée Jane recently went through. Francis and his friend Alan visit The Cabinet of Dr. Caligari, an exhibit where the mysterious doctor shows the somnambulist Cesare, and awakens him for some moments from his death-like sleep.",1920,"Drama, Horror, Thriller, Crime","insane asylum, silent film, unreliable narrator, expressionism, somnambulist, unreliable flashback, megalomania, madman, somnambulism, german expressionism","Werner Krauß, Lil Dagover, Hans Heinrich von Twardowski, Conrad Veidt, Friedrich Fehér",Robert Wiene,"fuboTV, Hoopla, Screambox, Classix, Fandor Amazon Channel, Screambox Amazon Channel ","Apple TV, Amazon Video, Google Play Movies, YouTube ","Apple TV, Amazon Video, Google Play Movies, YouTube, Kino Now ",Decla Film Gesellschaft Holz & Co.
The Penalty,90,English,"Blizzard, deranged from a childhood operation in which both his legs were needlessly amputated after an accident, becomes a vicious criminal, and eventually mob leader of the San Francisco underworld.",1920,"Crime, Drama, Thriller","san francisco, california, criminal underworld, silent film, mob boss, brain surgery, amputee","Milton Ross, James Pier Mason, Lon Chaney, Charles Clary, Doris Pawn",Wallace Worsley,"FlixFling, IndieFlix ",FlixFling ,"FlixFling, Kino Now ","Goldwyn Pictures Corporation, Eminent Authors Pictures Inc"
Way Down East,150,English,"A naive country girl is tricked into a sham marriage by a wealthy womanizer, then must rebuild her life despite the taint of having borne a child out of wedlock.",1920,"Drama, Romance","waterfall, silent film, country girl, fake wedding","Lillian Gish, Richard Barthelmess, Kate Bruce, Lowell Sherman, Burr McIntosh",D.W. Griffith,"Amazon Prime Video, fuboTV, MGM Plus Amazon Channel, MGM Plus Roku Premium Channel, Classix, FlixFling, IndieFlix ","Amazon Video, FlixFling ","Amazon Video, FlixFling, Kino Now ","D.W. Griffith Productions, United Artists"
An Eastern Westerner,27,English,"A young man in New York has exasperated his father because of his constant carousing and irresponsibility, so his father sends him to his uncle's ranch in the west. The young man arrives in the town of Piute Pass, which is being terrorized by Tiger Lip Tompkins and his gang, the Masked Angels. The Easterner befriends a young woman whose father is being held captive by Tompkins, and he decides to help her.",1920,"Comedy, Western",silent film,"Sammy Brooks, Mildred Davis, James T. Kelley, Harold Lloyd, Noah Young",Hal Roach,"Max, Max Amazon Channel, Criterion Channel ",,,Rolin Films
Honest Hutch,0,English,"Ort Hutchins is a confirmed loafer who spends all of his time fishing while his wife toils over the washtub. One day, while digging for worms, Hutch uncovers a box containing $100,000 in bills, the loot of a bank robbed in the next town. Realizing that he cannot spend the money without arousing suspicion, Hutch resigns himself to taking a job for cover. ...",1920,"Comedy, Western",silent film,"Priscilla Bonner, Mary Alden, Will Rogers, Tully Marshall, Nick Cogley",Clarence G. Badger,,,,Goldwyn Pictures Corporation
Sex,87,English,A Broadway actress uses her sex appeal to ruin a marriage only to dump her lover for a richer prospect.,1920,Drama,None,"William Conklin, Myrtle Stedman, Irving Cummings, Louise Glaum, Peggy Pearce",Fred Niblo,"Amazon Prime Video, fuboTV, MGM Plus Amazon Channel, MGM Plus Roku Premium Channel ",,,J. Parker Read Jr. Productions
Pollyanna,58,English,"When Pollyanna is orphaned, she's sent to live with her crotchety Aunt Polly. Pollyanna discovers that many of the people in her aunt's New England hometown are as ill-tempered as her aunt. But Pollyanna's incurable optimism - exemplified by her ""glad game"", in which she looks for the bright side of every situation - brings a change to the staid old community.",1920,"Comedy, Drama, Family","friendship, optimism, adoption, aunt, orphan, silent film, accident, childhood sweethearts, optimist, crippled child","George Berrell, Katherine Griffith, Helen Jerome Eddy, Mary Pickford, Howard Ralston",Paul Powell,,Amazon Video ,Amazon Video ,"United Artists, Mary Pickford Company"
School Days,25,English,Larry in school and always gets in trouble until he falls asleep and dreams of when he's all grown up.,1920,Comedy,"slapstick comedy, farm life, prankster, schoolroom","Jack Duffy, Frank Alexander, Larry Semon, Lucille Carlisle, Frank Hayes","Norman Taurog, Larry Semon, Mort Peebles",,,,Vitagraph Company of America
The Garage,22,English,Roscoe and Buster operate a combination garage and fire station. In the first half they destroy a car left for them to clean. In the second half they go off on a false alarm and return to find their own building on fire.,1920,Comedy,"silent film, short film","Dan Crimmins, Buster Keaton, Harry McCoy, Molly Malone, Roscoe Arbuckle",Roscoe Arbuckle,,,,Comique Film Company
Darling Mine,0,English,"Persuaded by a letter from her Aunt Agnes in America, Kitty McCarthy ( Olive Thomas ) travels from Ireland to New York City, there she meets Gordon Davis, a successful playwright, who directs her to her aunt's address on the East Side. Kitty soon discovers her aunt living in a tenement, a confirmed alcoholic. Through her niece's care, Agnes is cured, and one day Davis appears and offers Kitty a part in a comedy that he has written. She accepts, and once backstage meets Vera Maxwell, the victim of an unhappy affair with Oscar Savoy. Kitty brings the lovelorn couple back together but is unsuccessful in arranging her own romance with Davis' nephew Roger until Davis finally intervenes, and a happy ending prevails for all.",1920,Drama,None,"Margaret McWade, Walter McGrail, Olive Thomas, J. Barney Sherry, Walt Whitman",Laurence Trimble,,,,Selznick Pictures Corporation
The Golem: How He Came into the World,85,German,"In 16th-century Prague, a rabbi creates the Golem - a giant creature made of clay. Using sorcery, he brings the creature to life in order to protect the Jews of Prague from persecution.",1920,"Fantasy, Horror","based on novel or book, jewish ghetto, rabbi, in vitro fertilisation, prague, czech republic, prequel, anti-semitism, silent film, expressionism, golem, 16th century, german expressionism","Lyda Salmonova, Albert Steinrück, Ernst Deutsch, Hans Stürm, Paul Wegener","Paul Wegener, Carl Boese",,,"Amazon Video, Kino Now ",Projektions-AG Union
Neighbors,18,English,The Romeo and Juliet story played out in a tenement neighborhood with Buster and Virginia's families hating each other over the fence separating their buildings.,1920,"Comedy, Romance","marriage proposal, judge, baseball, wedding ring, belt, wedding ceremony, silent film, police arrest, impossible love, wedding day, short film","Buster Keaton, Joe Roberts, Virginia Fox, Edward F. Cline, Joe Keaton","Buster Keaton, Edward F. Cline",,,,"Joseph M. Schenck Productions, Metro Pictures Corporation"
Treasure Island,76,English,"Young Jim Hawkins is caught up with the pirate Long John Silver in search of the buried treasure of the buccaneer Captain Flint, in this adaptation of the classic novel by Robert Louis Stevenson.",1920,Adventure,"based on novel or book, lost film","Shirley Mason, Wilton Taylor, Josie Melville, Lon Chaney, Al W. Filson",Maurice Tourneur,,,,Maurice Tourneur Productions
